PM10;PM2-5;O3;CO;NO2;SO2
46,3;17;12,7;0,9;24,2;0
42,7;25;27,7;0,7;25,4;0
40;22;39,5;0,5;16,9;0
35,9;16;49,2;0,4;11,1;0
23;16;37,7;0,2;4,5;0
17,1;17;32,6;0,1;2,3;0
14,9;5;60,3;0,4;8,1;0
47,6;28;54,1;0,4;10,7;0
33,5;9;32,5;0,2;3,6;0
11,2;0;35,3;0,2;2,8;0
16,1;0;37,3;0,2;2,9;0
15,8;0;35,4;0,2;4,8;0
17;1;17,9;0,6;17,1;0
25;4;4,1;1,2;26,6;0
48,6;19;1,4;1,3;27,7;0
56,8;23;0,9;1;26;0
43,9;23;0,8;0,8;25,3;0
31;11;0,7;0,9;24,8;0
38,1;21;0,7;0,8;25,5;0
