PM10;PM2.5;OZONO;CO;NO2;SO2
21;11;27,9;0,4;10,8;0
37;23;20,3;0,5;16,1;0
36;24;9,9;0,4;10,6;0
26;19;8,6;0,3;11,5;0
26;14;13,5;0,2;7;0
19;10;8,4;0,3;9,7;0
24;12;5,8;0,4;12,2;0
24;15;14,5;0,1;2,5;0
20;15;6,1;0,2;9,6;0
23;19;11,8;0,1;4,7;0
23;17;5,5;0,1;9,7;0
22;17;14,5;0;2,1;0
13;12;8,6;0,1;7,7;0
29;15;6,6;0,2;9,5;0
29;20;2,4;0,6;12,6;0
34;30;11,1;0,3;8;0
24;14;20,3;0,1;2,2;0
16;11;25,6;0,1;1,8;0
23;12;29,8;0,1;1,3;0
21;8;31,8;0,1;0,4;0
21;4;33,1;0,1;0,7;0
19;7;32,1;0,1;0,5;0
13;10;30,4;0,1;2;0
23;7;26,5;0,1;3,8;0
21;5;22,2;0,2;4,7;0
20;10;16,5;0,2;7,7;0
23;9;15,8;0,2;8,5;0
18;13;15,5;0,2;8,1;0
27;11;8,6;0,2;11,7;0
26;11;6,8;0,3;13,6;0
23;12;3,5;0,5;13,5;0
25;16;0,6;0,7;13,8;0
34;15;7,3;0,4;10,1;0
27;14;12,9;0,2;6,1;0
20;15;6,4;0,2;9,6;0
26;16;9,5;0,2;8,2;0
23;11;10,7;0,1;6,7;0
22;14;7,2;0,2;9,5;0
26;14;11,4;0,2;8;0
17;15;19,8;0,1;3,4;0
14;8;23;0,1;1,4;0
13;7;23,7;0,1;1,1;0
13;6;23,2;0,1;1,2;0
15;8;23,7;0,1;1;0
18;10;23,1;0,1;1,6;0
17;7;24,1;0,1;0,7;0
19;7;23,9;0,1;0,9;0
10;7;22,3;0,1;1,1;0
11;8;22,1;0,2;1,8;0
20;14;19,8;0,1;3;0
21;10;12;0,2;7,7;0
21;16;8,4;0,4;10,5;0
27;19;9,2;0,3;9,6;0
23;12;3,7;0,4;12,3;0
27;14;7,3;0,2;8,5;0
23;10;7,7;0,2;8,9;0
20;12;1,5;0,2;10,1;0
16;9;0,8;0,2;9,3;0
21;15;0,7;0,3;8,4;0
20;17;0,5;0,2;7,3;0
23;9;0,6;0,5;8,4;0
51;24;0,6;0,8;11,5;0
48;29;0,7;0,7;10,3;0
35;22;1,2;0,8;10,9;0
60;33;9,8;0,3;5,9;0
26;16;13,3;0,1;3,6;0
26;9;14,1;0,2;3,4;0
20;6;15,3;0,1;1,8;0
10;4;15,2;0,1;0,9;0
16;3;13,2;0,1;2,9;0
15;6;11,8;0,2;3,8;0
16;8;12,4;0,2;3,4;0
27;23;13,2;0,1;2,8;0
10;2;12,2;0,2;3,8;0
11;7;5,4;0,3;9,2;0
21;8;5,9;0,2;7,5;0
19;5;3,5;0,2;8,5;0
17;12;1,7;0,4;9,1;0
23;11;4,6;0,2;7,2;0
20;6;10,7;0,1;4,6;0
12;1;11,8;0;3,1;0
13;1;6,2;0;7;0
10;6;6,9;0;4,8;0
9;8;0,9;0,1;10,1;0
19;9;3;0,1;8,1;0
11;8;0,7;0,6;12,9;0
35;23;0,9;0,8;11,4;0
35;19;4,2;0,5;8,2;0
26;12;9,8;0,2;4,9;0
18;10;13,8;0,1;1,6;0
11;7;16,5;0;0,9;0
12;4;16,7;0,1;1,1;0
17;2;18,7;0;0,1;0
10;5;20,1;0,1;1,8;0
10;8;20,5;0,1;2,5;0
17;4;18,1;0,1;3,5;0
19;5;15,8;0,2;6,7;0
16;12;16,5;0,2;6,4;0
31;11;13;0,3;10,6;0
18;11;15,2;0,2;8,8;0
24;11;15;0,1;8,5;0
24;17;12,5;0,2;9,7;0
21;16;7,2;0,1;9,8;0
19;14;7,2;0,1;8,3;0
19;11;1,3;0,2;13,2;0
28;10;0,6;0,3;13,8;0
35;16;0,5;0,2;9,7;0
26;16;0,6;0,3;10,6;0
34;21;0,7;0,2;9,8;0
41;23;0,7;0,5;12,8;0
42;28;1,1;0,3;9,7;0
40;28;3,7;0,6;11,2;0
53;32;9,3;0,4;9,5;0
44;22;16,9;0,2;6,4;0
27;13;22,9;0,1;4,2;0
31;13;29,7;0,1;1,9;0
26;9;35,1;0;0,9;0
22;7;30,9;0,1;0,1;0
27;6;19,4;0,1;2,6;0
17;1;17,2;0,1;5,2;0
23;9;37,6;0,1;6;0
41;25;37,3;0,2;7,1;0
